src_ip protocol fwd_pkt_len_var
16777343 6 0.0000
16777343 6 264.5000
16777343 6 7286.3333
16777343 6 5767.5833
16777343 6 4735.2000
16777343 6 4006.5667
16777343 6 3707.9524
16777343 6 3183.4107
16777343 6 2934.5278
16777343 6 2689.3778
16777343 6 2534.3636
16777343 6 2423.1515
16777343 6 2317.2564
16777343 6 2306.2253
16777343 6 2143.2095
16777343 6 2080.1333
16777343 6 1994.6103
16777343 6 1944.8791
16777343 6 1909.0994
16777343 6 1913.9368
16777343 6 1820.1905
16777343 6 1796.0628
16777343 6 1742.8972
16777343 6 1722.6957
16777343 6 1699.9167
16777343 6 1682.8800
16777343 6 1696.5242
16777343 6 1634.8519
16777343 6 1622.4039
16777343 6 1594.0276
16777343 6 1583.1656
16777343 6 1570.3065
16777343 6 1560.7803
16777343 17 28900.7344
16777343 17 53113.4992
16777343 17 74590.0825
16777343 17 93665.1231
16777343 17 110626.1622
16777343 17 125721.2038
16777343 17 139164.9128
16777343 17 151143.7220
16777343 17 161820.0604
16777343 17 171335.8715
16777343 17 179815.5518
16777343 17 187368.4162
16777343 17 194090.7749
16777343 17 200067.6892
16777343 17 205374.4610
16777343 17 210077.9014
16777343 17 214237.4139
16777343 17 217905.9231
16777343 17 221130.6727
16777343 17 223953.9129
16777343 17 226413.4955
16777343 17 228543.3886
16777343 17 230374.1247
16777343 17 231933.1905
16777343 17 233245.3672
16777343 17 234333.0286
16777343 17 235216.4023
16777343 17 235913.7989
16777343 17 236441.8149
16777343 17 236815.5105
16777343 17 237048.5675
16777343 17 237153.4288
16777343 17 237141.4228
16777343 17 237022.8729
16777343 17 236807.1958
16777343 17 236502.9889
16777343 17 236118.1085
16777343 17 235659.7392
16777343 17 235134.4570
16777343 17 234548.2846
16777343 17 233906.7427
16777343 17 233214.8944
16777343 17 232477.3867
16777343 17 231698.4867
16777343 17 230882.1152
16777343 17 230031.8767
16777343 17 229151.0861
16777343 17 228242.7938
16777343 17 227309.8079
16777343 17 226354.7141
16777343 17 225379.8944
16777343 17 224387.5440
16777343 17 223379.6859
16777343 17 222358.1855
16777343 17 221324.7628
16777343 17 220281.0041
16777343 17 219228.3725
16777343 17 218168.2178
16777343 17 217101.7850
16777343 17 216030.2225
16777343 17 214954.5898
16777343 17 213875.8638
16777343 17 212794.9456
16777343 17 211712.6658
16777343 17 210629.7900
16777343 17 209547.0237
16777343 17 208465.0166
16777343 17 207384.3667
16777343 17 206305.6245
16777343 17 205229.2960
16777343 17 204155.8462
16777343 17 203085.7018
16777343 17 202019.2546
